# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
8 0.5625 0 0 0 0 0 0 0 0 0 0
9 0.6375 0 0 0 0 0 0 0 0 0 0
10 0.7125 0 0 0 0 0 0 0 0 0 0
11 0.7875 0 0 0 0 0 0 0 0 0 0
12 0.8625 0 0 0 0 0 0 0 0 0 0
13 0.9375 0 0 0 0 0 0 0 0 0 0
14 1.0125 0 0 0 0 0 0 0 0 0 0
15 1.0875 0 0 0 0 0 0 0 0 0 0
16 1.1625 0 0 0 0 0 0 0 0 0 0
17 1.2375 0 0 0 0 0 0 0 0 0 0
18 1.3125 0 0 0 0 0 0 0 0 0 0
19 1.3875 0 0 0 0 0 0 0 0 0 0
20 1.4625 0 0 0 0 0 0 0 0 0 0
21 1.5375 0 0 0 0 0 0 0 0 0 0
22 1.6125 0 0 0 0 0 0 0 0 0 0
23 1.6875 0 0 0 0 0 0 0 0 0 0
24 1.7625 0 0 0 0 0 0 0 0 0 0
25 1.8375 0 0 0 0 0 0 0 0 0 0
26 1.9125 0 0 0 0 0 0 0 0 0 0
27 1.9875 0 0 0 0 0 0 0 0 0 0
28 2.0625 0 0 0 0 0 0 0 0 0 0
29 2.1375 0 0 0 0 0 0 0 0 0 0
30 2.2125 0 0 0 0 0 0 0 0 0 0
31 2.2875 0 0 0 0 0 0 0 0 0 0
32 2.3625 0 0 0 0 0 0 0 0 0 0
33 2.4375 0 0 0 0 0 0 0 0 0 0
34 2.5125 0 0 0 0 0 0 0 0 0 0
35 2.5875 0 0 0 0 0 0 0 0 7.23986e-06 2.51004e-07
36 2.6625 0 0 0 0 0 0 0 0 0.000413684 1.54367e-05
37 2.7375 0 0 0 0 0 0 0 0 0.00463449 0.000195281
38 2.8125 0 0 0 0 0 0 0 0 0.0336941 0.00157543
39 2.8875 0 0 0 0 0 0 0 0 0.0897984 0.00545243
40 2.9625 0 0 0 0 0 0 0 0 0.135702 0.0116196
41 3.0375 0 0 0 0 0 0 0 0 0.157782 0.0191579
42 3.1125 0 0 0.00741306 9.375e-05 0 0 0 0 0.160763 0.0272225
43 3.1875 0 0 0.0730394 0.0010625 0 0 0 0 0.163892 0.0358451
44 3.2625 0 0 0.568256 0.00895833 0.00468549 5.20833e-06 0.000472486 2.60417e-05 0.17367 0.0454172
45 3.3375 0 0 2.31923 0.0426823 0.14775 0.000177083 0.0713354 0.00414063 0.187572 0.0562362
46 3.4125 0 0 5.40436 0.124839 1.25053 0.00169792 0.227333 0.017849 0.202185 0.0684281
47 3.4875 0 0 8.89105 0.266005 6.6509 0.0101458 0.243132 0.0331615 0.209704 0.0816353
48 3.5625 0 0 12.6483 0.475557 21.8879 0.0391563 0.346492 0.0559323 0.209402 0.0953968
49 3.6375 0 0 15.6972 0.746687 38.2728 0.0920417 0.539425 0.0928906 0.21506 0.110132
50 3.7125 0 0 18.2187 1.07448 45.9186 0.158135 0.633448 0.138099 0.222556 0.126015
51 3.7875 0 0 19.2885 1.43568 75.3867 0.271073 0.689174 0.189292 0.233337 0.143348
52 3.8625 0 0 19.2888 1.81134 134.662 0.48088 0.664693 0.240641 0.24708 0.162435
53 3.9375 0 0 20.2739 2.22166 59.2079 0.576745 0.80135 0.304974 0.253117 0.182756
